region,suburb,occupation,occupation_count_2041,occupation_rank_2041,industry,industry_count_2041,industry_rank_2041
Brisbane - North,Geebung,Specialist Managers,193,top_3,Preschool and School Education,181,top_3
Brisbane Inner City,Grange,Specialist Managers,305,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",315,top_1
Brisbane Inner City,Grange,"Business, Human Resource and Marketing Professionals",250,top_2,Medical and Other Health Care Services,183,top_2
Brisbane Inner City,Grange,"Design, Engineering, Science and Transport Professionals",197,top_3,Public Administration,180,top_3
Brisbane - South,Greenslopes,Specialist Managers,570,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",507,top_1
Brisbane - South,Greenslopes,ICT Professionals,569,top_2,Hospitals,440,top_2
Brisbane - South,Greenslopes,"Business, Human Resource and Marketing Professionals",482,top_3,Food and Beverage Services,429,top_3
Brisbane Inner City,Hamilton (Qld),Specialist Managers,477,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",557,top_1
Brisbane Inner City,Hamilton (Qld),"Business, Human Resource and Marketing Professionals",382,top_2,Food and Beverage Services,299,top_2
Brisbane Inner City,Hamilton (Qld),"Design, Engineering, Science and Transport Professionals",262,top_3,Other Store-Based Retailing,243,top_3
Brisbane Inner City,Hawthorne,Specialist Managers,432,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",366,top_1
Brisbane Inner City,Hawthorne,"Business, Human Resource and Marketing Professionals",398,top_2,Computer System Design and Related Services,195,top_2
Brisbane Inner City,Hawthorne,"Design, Engineering, Science and Transport Professionals",218,top_3,Social Assistance Services,172,top_3
Brisbane Inner City,Hendra,Specialist Managers,353,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",351,top_1
Brisbane Inner City,Hendra,"Business, Human Resource and Marketing Professionals",273,top_2,Food and Beverage Services,170,top_2
Brisbane Inner City,Hendra,Education Professionals,136,top_3,Public Administration,158,top_3
Brisbane Inner City,Highgate Hill,"Design, Engineering, Science and Transport Professionals",462,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",590,top_1
Brisbane Inner City,Highgate Hill,Specialist Managers,426,top_2,Food and Beverage Services,362,top_2
Brisbane Inner City,Highgate Hill,ICT Professionals,420,top_3,Public Administration,312,top_3
Brisbane - South,Holland Park,Specialist Managers,515,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",361,top_1
Brisbane - South,Holland Park,"Business, Human Resource and Marketing Professionals",376,top_2,Public Administration,298,top_2
Brisbane - South,Holland Park,Education Professionals,317,top_3,Preschool and School Education,290,top_3
Brisbane - South,Holland Park West,Specialist Managers,443,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",284,top_1
Brisbane - South,Holland Park West,ICT Professionals,396,top_2,Public Administration,275,top_2
Brisbane - South,Holland Park West,"Business, Human Resource and Marketing Professionals",292,top_3,Preschool and School Education,267,top_3
Ipswich,Inala - Richlands,Carers and Aides,1329,top_1,Food and Beverage Services,1258,top_1
Ipswich,Inala - Richlands,Sports and Personal Service Workers,1163,top_2,Social Assistance Services,753,top_2
Ipswich,Inala - Richlands,Sales Assistants and Salespersons,710,top_3,Construction Services,746,top_3
Brisbane - West,Indooroopilly,ICT Professionals,1282,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1052,top_1
Brisbane - West,Indooroopilly,Specialist Managers,911,top_2,Computer System Design and Related Services,730,top_2
Brisbane - West,Indooroopilly,"Design, Engineering, Science and Transport Professionals",832,top_3,Medical and Other Health Care Services,647,top_3
Brisbane - West,Jindalee - Mount Ommaney,Specialist Managers,392,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",646,top_1
Brisbane - West,Jindalee - Mount Ommaney,"Business, Human Resource and Marketing Professionals",365,top_2,Other Store-Based Retailing,283,top_2
Brisbane - West,Jindalee - Mount Ommaney,"Design, Engineering, Science and Transport Professionals",281,top_3,Preschool and School Education,257,top_3
Brisbane Inner City,Kangaroo Point,Specialist Managers,781,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",846,top_1
Brisbane Inner City,Kangaroo Point,"Business, Human Resource and Marketing Professionals",710,top_2,Food and Beverage Services,563,top_2
Brisbane Inner City,Kangaroo Point,ICT Professionals,627,top_3,Computer System Design and Related Services,447,top_3
Ipswich,Karana Downs,Specialist Managers,370,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",246,top_1
Ipswich,Karana Downs,Education Professionals,245,top_2,Computer System Design and Related Services,222,top_2
Ipswich,Karana Downs,ICT Professionals,243,top_3,Social Assistance Services,199,top_3
Brisbane - North,Kedron - Gordon Park,Specialist Managers,747,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",620,top_1
Brisbane - North,Kedron - Gordon Park,"Business, Human Resource and Marketing Professionals",684,top_2,Public Administration,603,top_2
Brisbane - North,Kedron - Gordon Park,Carers and Aides,565,top_3,Social Assistance Services,458,top_3
Brisbane Inner City,Kelvin Grove - Herston,"Business, Human Resource and Marketing Professionals",537,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",527,top_1
Brisbane Inner City,Kelvin Grove - Herston,ICT Professionals,528,top_2,Accommodation,508,top_2
Brisbane Inner City,Kelvin Grove - Herston,Specialist Managers,515,top_3,Food and Beverage Services,409,top_3
Brisbane - West,Kenmore,ICT Professionals,932,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",673,top_1
Brisbane - West,Kenmore,Specialist Managers,673,top_2,Computer System Design and Related Services,566,top_2
Brisbane - West,Kenmore,Education Professionals,475,top_3,Preschool and School Education,358,top_3
Brisbane - West,Keperra,Carers and Aides,3116,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",357,top_1
Brisbane - West,Keperra,Cleaners and Laundry Workers,237,top_2,Public Administration,349,top_2
Brisbane - West,Keperra,Education Professionals,94,top_3,Preschool and School Education,286,top_3
Brisbane - South,Kuraby,Specialist Managers,385,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",557,top_1
Brisbane - South,Kuraby,"Business, Human Resource and Marketing Professionals",379,top_2,Food and Beverage Services,349,top_2
Brisbane - South,Kuraby,"Design, Engineering, Science and Transport Professionals",370,top_3,Public Administration,329,top_3
Brisbane - South,Macgregor (Qld),Carers and Aides,305,top_1,Food and Beverage Services,423,top_1
Brisbane - South,Macgregor (Qld),"Design, Engineering, Science and Transport Professionals",258,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",301,top_2
Brisbane - South,Macgregor (Qld),"Business, Human Resource and Marketing Professionals",245,top_3,Public Administration,267,top_3
Brisbane - East,Manly - Lota,Specialist Managers,398,top_1,Construction Services,395,top_1
Brisbane - East,Manly - Lota,"Business, Human Resource and Marketing Professionals",201,top_2,Public Administration,221,top_2
Brisbane - East,Manly - Lota,Construction Trades Workers,173,top_3,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",213,top_3
Brisbane - East,Manly West,Specialist Managers,569,top_1,Construction Services,595,top_1
Brisbane - East,Manly West,Sales Assistants and Salespersons,314,top_2,Preschool and School Education,392,top_2
Brisbane - East,Manly West,Carers and Aides,311,top_3,Public Administration,360,top_3
Brisbane - South,Mansfield (Qld),"Business, Human Resource and Marketing Professionals",385,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",517,top_1
Brisbane - South,Mansfield (Qld),Carers and Aides,384,top_2,Public Administration,345,top_2
Brisbane - South,Mansfield (Qld),Specialist Managers,296,top_3,Other Store-Based Retailing,338,top_3
Brisbane - North,McDowall,Carers and Aides,728,top_1,Public Administration,511,top_1
Brisbane - North,McDowall,Specialist Managers,585,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",437,top_2
Brisbane - North,McDowall,Education Professionals,520,top_3,Preschool and School Education,431,top_3
Brisbane - West,Middle Park - Jamboree Heights,"Business, Human Resource and Marketing Professionals",379,top_1,Tertiary Education,489,top_1
Brisbane - West,Middle Park - Jamboree Heights,Specialist Managers,378,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",412,top_2
Brisbane - West,Middle Park - Jamboree Heights,"Design, Engineering, Science and Transport Professionals",266,top_3,Preschool and School Education,278,top_3
Brisbane - West,Mitchelton,Carers and Aides,984,top_1,Public Administration,804,top_1
Brisbane - West,Mitchelton,Education Professionals,680,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",613,top_2
Brisbane - West,Mitchelton,Specialist Managers,619,top_3,Preschool and School Education,580,top_3
Brisbane - South,Moorooka,Specialist Managers,644,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",460,top_1
Brisbane - South,Moorooka,Carers and Aides,481,top_2,Public Administration,442,top_2
Brisbane - South,Moorooka,Education Professionals,454,top_3,Tertiary Education,351,top_3
Brisbane Inner City,Morningside - Seven Hills,Specialist Managers,934,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",861,top_1
Brisbane Inner City,Morningside - Seven Hills,"Business, Human Resource and Marketing Professionals",751,top_2,Public Administration,470,top_2
Brisbane Inner City,Morningside - Seven Hills,ICT Professionals,605,top_3,Computer System Design and Related Services,426,top_3
Brisbane - South,Mount Gravatt,"Business, Human Resource and Marketing Professionals",949,top_1,Public Administration,938,top_1
Brisbane - South,Mount Gravatt,Specialist Managers,920,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",875,top_2
Brisbane - South,Mount Gravatt,Carers and Aides,753,top_3,Other Store-Based Retailing,625,top_3
Brisbane - East,Murarrie,Specialist Managers,364,top_1,Construction Services,263,top_1
Brisbane - East,Murarrie,"Business, Human Resource and Marketing Professionals",242,top_2,Public Administration,236,top_2
Brisbane - East,Murarrie,Carers and Aides,225,top_3,Other Store-Based Retailing,190,top_3
Brisbane Inner City,New Farm,Specialist Managers,932,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1290,top_1
Brisbane Inner City,New Farm,"Business, Human Resource and Marketing Professionals",919,top_2,Food and Beverage Services,635,top_2
Brisbane Inner City,New Farm,ICT Professionals,781,top_3,Computer System Design and Related Services,515,top_3
Brisbane Inner City,Newmarket,Specialist Managers,313,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",299,top_1
Brisbane Inner City,Newmarket,"Business, Human Resource and Marketing Professionals",286,top_2,Public Administration,212,top_2
Brisbane Inner City,Newmarket,ICT Professionals,220,top_3,Other Store-Based Retailing,174,top_3
Brisbane Inner City,Newstead - Bowen Hills,Specialist Managers,1884,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",2368,top_1
Brisbane Inner City,Newstead - Bowen Hills,"Business, Human Resource and Marketing Professionals",1650,top_2,Computer System Design and Related Services,1007,top_2
Brisbane Inner City,Newstead - Bowen Hills,ICT Professionals,1271,top_3,Food and Beverage Services,839,top_3
Brisbane Inner City,Norman Park,Specialist Managers,568,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",452,top_1
Brisbane Inner City,Norman Park,"Business, Human Resource and Marketing Professionals",378,top_2,Public Administration,242,top_2
